Product Name,Price Before Discount,Current Price After Discount,Discount
"Hama 6in1 Usb-c Multiport Adapter With Card Slot (200110), (5YR WRTY)","KSh 13,990","KSh 6,995",50%
Acer REFUBRISHED X360 CHROMEBOOK 4GB RAM/32 HDD/TOUCHSCREEN.,"KSh 15,000","KSh 11,520",23%
Asus Refurbished X200M Touchscreen 4GB RAM 500 GB HDD,"KSh 25,000","KSh 12,999",48%
Acer CHROMEBOOK X360/4GB/32SSD/,"KSh 25,998","KSh 12,999",50%
HP PROBOOK 11E/4GB/500HDD/INTEL,"KSh 19,000","KSh 15,500",18%
"Lenovo  Refurbished ThinkPad Yoga 11e Intel Celeron,X360 8GB RAM ,500GB HDD","KSh 29,000","KSh 16,000",45%
HP Refurbished ProBook X360 11EE 4GB 128GB SSD intel 2-In-1Touchscreen,"KSh 35,000","KSh 16,500",53%
HP PROBOOK 11 X360/TOUCHSCREEN/4GB/128SSD/INTEL - Refurbished,"KSh 29,000","KSh 16,599",43%
HP Refurbished ProBook X360 11EE 4GB 128GB SSD Touchscreen Slim Laptop.,"KSh 25,999","KSh 16,999",35%
"Sayona SGC50E31-GO Electric 3+1 Gas Free Standing Cooker, 50*55 White","KSh 25,699","KSh 19,999",22%
VON VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY),"KSh 43,995","KSh 27,500",37%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 14,200","KSh 12,434",12%
"Hisense WFQP7012EVMT 7Kg Front Load Washing Machine,Silver (2YRS WRTY)","KSh 56,000","KSh 45,450",19%
"Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow, (1YR WRTY)","KSh 2,999","KSh 1,549",48%
"Midea MMO-MM7P012MZE(BK) , 20L Manual Microwave Oven , 700W - Black","KSh 11,000","KSh 7,299",34%
AILYONS GS017 Gas Cooker Double Burner Stainless Steel Table Top (1YR WRTY),"KSh 2,399","KSh 1,599",33%
